,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
129,Burnie,-41.07,145.92,50.0,91,100,1.99,AU,1591037303
130,Port Augusta,-32.5,137.77,45.0,92,24,1.01,AU,1591037303
131,Waipawa,-41.41,175.52,54.0,82,99,3.76,NZ,1591037303
132,Velsk,61.07,42.1,39.72,77,41,5.39,RU,1591037303
133,Havre-St-Pierre,50.23,-63.6,53.6,58,1,18.34,CA,1591037303
134,Tura,25.52,90.22,72.68,96,100,6.46,IN,1591037303
135,Narsaq,60.92,-46.05,55.4,50,75,11.41,GL,1591037303
136,La Roche-sur-Yon,46.67,-1.43,78.8,31,0,9.17,FR,1591037303
137,Correia Pinto,-27.58,-50.36,60.73,78,87,4.27,BR,1591037304
138,Tazovsky,67.47,78.7,34.56,90,13,11.32,RU,1591037304
139,Touros,-5.2,-35.46,86.0,66,20,9.17,BR,1591037304
140,Gerāsh,27.67,54.14,89.6,27,23,6.93,IR,1591037304
141,Lewisporte,49.25,-55.05,64.0,93,90,18.34,CA,1591037304
142,Kostino,58.91,53.27,41.72,95,40,5.53,RU,1591037304
143,Cherskiy,68.75,161.3,50.27,52,96,6.04,RU,1591037304
144,Caxito,-8.58,13.66,77.0,88,20,6.93,AO,1591037304
145,Saskylakh,71.92,114.08,41.36,85,85,8.52,RU,1591037305
146,Plettenberg Bay,-34.05,23.37,60.49,85,6,5.17,ZA,1591037305
147,Broome,42.25,-75.83,66.0,36,20,9.17,US,1591037305
148,Severo-Kuril'sk,50.68,156.12,41.59,89,81,9.62,RU,1591037305
149,General Roca,-39.03,-67.58,53.6,54,0,3.36,AR,1591037305
150,Raudeberg,61.99,5.14,60.01,61,1,12.86,NO,1591037305
151,Hilo,19.73,-155.09,78.8,74,1,3.36,US,1591037305
152,Bethel,41.37,-73.41,64.99,39,20,5.82,US,1591037204
153,Svetlaya,46.54,138.33,51.39,95,100,5.1,RU,1591037305
154,Saint-Michel-des-Saints,46.68,-73.92,49.17,67,100,9.6,CA,1591037306
155,Nabire,-3.37,135.48,76.3,87,98,3.4,ID,1591037306
156,Kondinskoye,59.65,67.41,45.14,89,100,5.5,RU,1591037306
157,Florence,43.77,11.25,77.0,38,0,8.05,IT,1591037306
158,São Filipe,14.9,-24.5,74.71,76,99,7.96,CV,1591037306
159,Bredasdorp,-34.53,20.04,55.4,87,95,4.7,ZA,1591037306
160,Nizhniy Odes,63.64,54.86,40.71,75,86,5.99,RU,1591037306
161,Fortuna,40.6,-124.16,68.0,77,40,11.41,US,1591037306
162,Provideniya,64.38,-173.3,53.4,43,0,6.46,RU,1591037306
163,Mattru,7.62,-11.83,78.21,92,78,3.87,SL,1591037306
164,Pampa,35.54,-100.96,84.2,34,1,14.99,US,1591037307
165,Udimskiy,61.14,45.91,38.91,83,76,4.68,RU,1591037307
166,Urucará,-2.54,-57.76,85.66,72,100,2.53,BR,1591037307
167,Marawi,8.0,124.29,75.99,90,100,5.99,PH,1591037307
168,Sambava,-14.27,50.17,73.89,78,12,16.24,MG,1591037307
169,Riwaka,-41.08,173.0,51.01,96,0,1.99,NZ,1591037307
170,Byron Bay,-28.65,153.62,57.0,66,0,1.99,AU,1591037307
171,Maniitsoq,65.42,-52.9,40.73,80,100,7.09,GL,1591037307
172,Gizo Government Station,-8.1,156.84,82.33,73,5,2.42,SB,1591037307
173,Port Hedland,-20.32,118.57,64.4,42,96,10.29,AU,1591037308
174,Trincomalee,8.57,81.23,83.03,75,40,12.86,LK,1591037308
175,Fuerte Olimpo,-21.04,-57.87,59.13,91,100,7.45,PY,1591037149
176,Kharp,66.8,65.81,37.65,76,100,6.85,RU,1591037308
177,Chokwé,-24.53,32.98,66.76,72,0,5.86,MZ,1591037308
178,Mehamn,71.04,27.85,59.0,58,98,14.99,NO,1591037308
179,Rocha,-34.48,-54.33,52.56,85,100,11.16,UY,1591037308
180,Vanimo,-2.67,141.3,77.07,84,59,6.53,PG,1591037308
181,Haicheng,40.85,122.75,59.88,55,100,9.48,CN,1591037309
182,Suez,29.97,32.53,82.71,21,0,10.11,EG,1591037119
183,Port Hardy,50.7,-127.42,53.6,76,40,6.93,CA,1591037309
184,Berlevåg,70.86,29.09,59.0,58,100,14.99,NO,1591037309
185,Nome,64.5,-165.41,57.99,76,75,5.82,US,1591037309
186,Ramos Arizpe,25.55,-100.97,73.4,56,40,9.17,MX,1591037309
187,Benoy,8.98,16.32,92.93,34,80,3.42,TD,1591037309
188,George Town,5.41,100.34,82.4,88,20,6.71,MY,1591037310
189,Codrington,-38.27,141.97,49.24,93,73,9.71,AU,1591037310
190,Buraidah,26.33,43.98,100.4,18,20,8.05,SA,1591037310
191,Borovoy,55.43,86.08,53.6,93,40,6.71,RU,1591037310
192,Uvat,59.14,68.9,44.56,95,100,4.79,RU,1591037310
193,Pahrump,36.21,-115.98,89.01,13,100,8.01,US,1591037310
194,Richards Bay,-28.78,32.04,68.0,88,0,9.01,ZA,1591037310
195,Puri,19.8,85.85,77.0,100,20,3.36,IN,1591037310
196,Tsabong,-26.02,22.4,61.99,29,1,6.49,BW,1591037310
197,San Luis,-33.3,-66.34,60.35,33,0,11.99,AR,1591037310
198,San Juan,-31.54,-68.54,64.99,27,0,8.79,AR,1591037311
199,Ahipara,-35.17,173.17,58.53,84,100,10.98,NZ,1591037311
200,Pevek,69.7,170.31,38.3,76,15,3.22,RU,1591037311
201,Los Altos,37.39,-122.11,75.99,53,75,8.05,US,1591037311
202,Faanui,-16.48,-151.75,80.78,79,0,16.33,PF,1591037311
203,Bǝrdǝ,40.37,47.13,73.69,50,99,6.44,AZ,1591037311
204,Sakakah,29.97,40.21,87.8,12,0,13.87,SA,1591037311
205,Carutapera,-1.2,-46.02,81.16,89,100,5.17,BR,1591037311
206,Mahébourg,-20.41,57.7,73.4,78,40,11.41,MU,1591037311
207,Cowra,-33.83,148.68,42.01,93,99,7.0,AU,1591037311
208,Basqal,40.76,48.39,68.0,68,80,3.36,AZ,1591037312
209,Emerald,-23.53,148.17,55.0,56,0,8.52,AU,1591037312
210,Klaksvík,62.23,-6.59,48.2,81,100,10.29,FO,1591037312
211,Pavino,59.11,46.14,39.47,85,3,4.72,RU,1591037312
212,Dingle,11.0,122.67,78.04,75,100,5.28,PH,1591037312
213,Banjar,-8.19,114.97,78.8,100,5,6.93,ID,1591037312
214,Huarmey,-10.07,-78.15,72.82,68,27,13.71,PE,1591037312
215,Mascote,-15.56,-39.3,77.99,70,99,3.67,BR,1591037312
216,Cabo San Lucas,22.89,-109.91,84.2,48,5,13.87,MX,1591037250
217,Tessalit,20.2,1.01,103.1,11,80,9.46,ML,1591037313
218,Saint Lawrence,36.06,14.2,69.01,77,75,8.05,MT,1591037313
219,Guerrero Negro,27.98,-114.06,74.95,51,0,14.32,MX,1591037313
220,Mlyniv,50.51,25.62,48.99,87,45,9.62,UA,1591037313
221,Kaeo,-35.1,173.78,57.0,3,99,7.0,NZ,1591037313
222,Fukuechō,32.69,128.84,67.35,77,0,6.55,JP,1591037313
223,Hasaki,35.73,140.83,66.2,93,40,2.24,JP,1591037313
224,Kaitangata,-46.28,169.85,46.0,76,42,1.99,NZ,1591037313
225,Campbell River,50.02,-125.24,59.0,54,40,3.36,CA,1591037313
226,Kuusamo,65.97,29.18,57.2,67,51,4.7,FI,1591037313
227,Bay Roberts,47.6,-53.26,64.99,100,100,11.99,CA,1591037314
228,Saint George,37.1,-113.58,91.99,14,1,3.36,US,1591037314
229,Mandera,3.94,41.87,84.52,56,100,11.59,KE,1591037314
230,Bulgan,48.81,103.53,46.26,69,70,8.16,MN,1591037314
231,Vestmannaeyjar,63.44,-20.27,50.0,76,20,8.05,IS,1591037314
232,Belaya Gora,68.53,146.42,50.23,55,98,12.1,RU,1591037314
233,Jiuquan,39.74,98.52,65.88,25,3,3.91,CN,1591037314
234,Redding,40.59,-122.39,80.01,47,1,3.36,US,1591037314
235,Tiksi,71.69,128.87,34.25,89,0,1.9,RU,1591037314
236,Ubari,26.59,12.78,90.09,13,0,3.13,LY,1591037315
237,Alekseyevka,50.63,38.69,56.25,86,83,8.08,RU,1591037315
238,Ilulissat,69.22,-51.1,37.4,74,75,6.93,GL,1591037315
239,Erdenet,49.03,104.08,42.94,74,1,12.37,MN,1591037315
240,Hong Kong,22.29,114.16,84.0,74,100,5.01,HK,1591037267
241,Leningradskiy,69.38,178.42,39.38,74,0,5.14,RU,1591037315
242,Tiarei,-17.53,-149.33,82.4,65,75,8.05,PF,1591037315
243,Shingū,33.73,135.98,64.6,91,1,4.27,JP,1591037315
244,Vikulovo,56.82,70.61,45.01,94,100,7.0,RU,1591037315
245,Isangel,-19.55,169.27,73.4,94,20,8.46,VU,1591037315
246,Avarua,-21.21,-159.78,75.2,69,9,6.93,CK,1591037316
247,Sarakhs,36.54,61.16,86.4,12,0,6.17,IR,1591037316
248,Hualmay,-11.1,-77.61,71.67,69,14,13.42,PE,1591037316
249,Guayaramerín,-10.84,-65.36,92.59,42,62,2.64,BO,1591037316
250,Englehart,47.82,-79.87,68.0,28,1,11.41,CA,1591037316
251,Matara,5.95,80.54,78.48,88,95,6.91,LK,1591037316
252,Ajdabiya,30.76,20.23,68.0,69,89,10.49,LY,1591037316
253,Acapulco de Juárez,16.86,-99.89,82.4,69,75,10.29,MX,1591037068
254,Oranjemund,-28.55,16.43,65.59,39,100,4.79,NA,1591037317
255,Carnarvon,-24.87,113.63,70.88,36,100,12.71,AU,1591037317
256,Štěpánov,49.68,17.22,61.0,54,0,7.2,CZ,1591037317
257,Narón,43.52,-8.15,64.4,88,100,5.82,ES,1591037317
258,Portland,45.52,-122.68,64.99,55,20,5.82,US,1591036899
259,Geraldton,-28.77,114.6,59.0,67,47,16.11,AU,1591037317
260,Lagos,6.58,3.75,79.97,82,17,5.12,NG,1591037317
261,Atbasar,51.8,68.33,66.54,51,0,5.84,KZ,1591037317
262,Mitrovice,42.88,20.87,55.4,71,75,8.05,XK,1591037317
263,Lázaro Cárdenas,17.96,-102.2,83.25,59,0,11.25,MX,1591037318
264,Margate,51.38,1.39,64.0,80,0,3.0,GB,1591037098
265,Bogorodskoye,56.55,37.88,46.6,89,3,9.73,RU,1591037310
266,Kavaratti,10.57,72.64,83.75,77,100,22.88,IN,1591037318
267,Milton,34.13,-84.3,81.0,59,0,1.01,US,1591037318
268,San Cristobal,7.77,-72.22,82.08,45,98,4.5,VE,1591037266
269,Aklavik,68.22,-135.01,35.6,69,75,11.41,CA,1591037043
270,Dehlorān,32.69,47.27,97.14,9,0,4.21,IR,1591037318
271,Bilma,18.69,12.92,97.79,10,0,9.51,NE,1591037318
272,Northam,51.03,-4.22,70.0,61,0,1.01,GB,1591037319
273,Oga,46.46,10.35,64.4,62,75,8.05,IT,1591037319
274,Genhe,50.78,121.52,37.83,74,0,2.21,CN,1591037319
275,Albacete,38.83,-2.0,77.0,38,100,9.17,ES,1591037319
276,Cotonou,6.37,2.42,78.8,83,20,4.7,BJ,1591037319
277,Donji grad,45.81,15.98,71.6,46,12,4.7,HR,1591037319
278,Yulara,-25.24,130.99,46.06,87,99,8.9,AU,1591037319
279,Yeppoon,-23.13,150.73,62.6,88,40,3.36,AU,1591037319
280,Montepuez,-13.13,39.0,67.28,66,0,7.72,MZ,1591037319
281,Goderich,43.75,-81.72,68.0,68,2,3.0,CA,1591037320
282,Jamame,0.07,42.75,79.38,83,62,10.6,SO,1591037320
283,Upernavik,72.79,-56.15,32.54,92,100,6.02,GL,1591037320
284,Morón,-34.65,-58.62,59.0,58,75,6.93,AR,1591037320
285,Linxia Chengguanzhen,35.6,103.21,54.37,41,100,4.63,CN,1591037320
286,Jiwani,25.05,61.74,86.47,81,0,4.68,PK,1591037320
287,Umluj,25.02,37.27,80.42,55,0,6.22,SA,1591037320
288,Isabela,6.71,121.97,77.0,94,90,1.12,PH,1591037320
289,Les Cayes,18.2,-73.75,85.44,63,56,9.66,HT,1591037320
290,Anadyr,64.75,177.48,41.0,75,42,4.47,RU,1591037320
291,Laas,46.62,10.7,64.4,39,20,10.29,IT,1591037320
292,Maunabo,18.01,-65.9,87.01,75,69,4.0,PR,1591037321
293,Loíza,18.43,-65.88,84.99,74,40,14.99,PR,1591037321
294,Gigmoto,13.78,124.39,79.74,72,53,3.09,PH,1591037321
295,Moose Jaw,50.4,-105.53,75.2,31,20,20.8,CA,1591037259
296,Turaif,31.67,38.66,82.4,24,0,20.8,SA,1591037321
297,Merrill,45.18,-89.68,62.01,87,90,4.7,US,1591037253
298,Havelock,34.88,-76.9,80.01,44,40,4.7,US,1591037321
299,Opoczno,51.38,20.28,57.0,45,97,1.01,PL,1591037321
300,Tual,-5.67,132.75,81.88,79,1,22.95,ID,1591037321
301,Westport,41.14,-73.36,66.99,34,90,10.29,US,1591037048
302,Bariloche,-41.15,-71.31,51.8,57,75,20.8,AR,1591037149
303,Izumo,35.37,132.77,64.4,93,20,3.36,JP,1591037322
304,Souillac,-20.52,57.52,73.4,78,40,11.41,MU,1591037322
305,Ancud,-41.87,-73.82,55.0,100,90,9.17,CL,1591037322
306,Isla Mujeres,21.23,-86.73,84.2,79,90,10.29,MX,1591037322
307,Los Llanos de Aridane,28.66,-17.92,71.6,64,20,3.36,ES,1591037322
308,Meulaboh,4.14,96.13,78.4,88,100,2.51,ID,1591037322
309,Porto Santo,33.07,-16.34,69.8,73,20,18.34,PT,1591037322
310,Chiredzi,-21.05,31.67,63.68,71,0,5.77,ZW,1591037322
311,Launceston,-41.45,147.17,42.01,100,90,5.82,AU,1591037322
312,Pangkalanbuun,-2.68,111.62,75.24,97,100,2.48,ID,1591037323
313,Ndélé,8.41,20.65,78.22,69,100,6.49,CF,1591037323
314,Flinders,-34.58,150.86,52.0,60,41,11.01,AU,1591037323
315,Ukiah,39.15,-123.21,75.99,49,1,5.82,US,1591037323
316,Bonga,7.28,36.23,61.05,90,93,1.25,ET,1591037323
317,Morehead,37.27,-87.18,78.01,33,1,5.82,US,1591037323
318,Kortkeros,61.81,51.58,42.8,75,20,6.71,RU,1591037323
319,Porto Walter,-8.27,-72.74,89.73,50,4,2.51,BR,1591037323
320,Shaoguan,24.8,113.58,75.16,94,100,1.9,CN,1591037323
321,Atar,20.52,-13.05,97.02,14,100,11.72,MR,1591037323
322,Gera,50.88,12.08,69.8,37,0,3.36,DE,1591037324
323,Ilesha,7.14,5.26,76.62,91,37,4.21,NG,1591037324
324,Kloulklubed,7.04,134.26,78.8,88,40,10.04,PW,1591037324
325,Rio Grande,-32.03,-52.1,59.0,57,0,8.01,BR,1591037037
326,Steamboat Springs,40.48,-106.83,77.0,29,1,4.7,US,1591037324
327,Bentiu,9.23,29.83,87.67,45,21,7.85,SS,1591037324
328,Inongo,-1.95,18.27,72.36,89,98,1.52,CD,1591037324
329,Tuy Hoa,13.08,109.3,78.06,86,81,4.88,VN,1591037324
330,Castro,-24.79,-50.01,63.5,90,96,8.63,BR,1591037324
331,Rawson,-43.3,-65.1,58.19,41,100,10.74,AR,1591037205
332,Boone,39.03,-92.33,81.0,47,1,17.22,US,1591037221
333,Cockburn Town,21.46,-71.14,87.8,62,40,8.05,TC,1591037325
334,Shelburne,44.08,-80.2,71.6,28,1,16.11,CA,1591037146
335,Neryungri,56.67,124.65,35.01,84,0,0.49,RU,1591037325
336,Arlit,18.74,7.39,101.12,11,20,6.58,NE,1591037325
337,Hobyo,5.35,48.53,83.59,71,28,23.42,SO,1591037325
338,Talnakh,69.49,88.4,39.0,86,39,7.58,RU,1591037325
339,Singkang,2.1,102.8,75.16,94,99,0.72,MY,1591037325
340,Haines Junction,60.75,-137.51,52.07,45,99,11.79,CA,1591037325
341,Karratha,-20.74,116.85,70.09,40,100,15.35,AU,1591037326
342,Nelson,-41.28,173.28,51.01,87,0,1.99,NZ,1591037151
343,Sola,-13.88,167.55,81.97,81,16,16.35,VU,1591037326
344,Denia,38.84,0.11,75.99,48,62,13.33,ES,1591037326
345,Kananga,-5.9,22.42,76.78,50,72,3.44,CD,1591037326
346,Yangambi,0.81,24.43,73.35,85,9,1.74,CD,1591037326
347,Marsh Harbour,26.54,-77.06,81.25,68,100,8.86,BS,1591037326
348,Kalengwa,-13.47,25.0,66.0,47,82,4.25,ZM,1591037326
349,Abaeté,-19.16,-45.45,74.07,57,6,3.69,BR,1591037326
350,Antibes,43.56,7.13,69.8,73,100,5.82,FR,1591037327
351,Flin Flon,54.77,-101.86,57.2,93,90,3.36,CA,1591037327
352,Guarapari,-20.67,-40.5,78.01,71,53,1.86,BR,1591037327
353,Manta,-0.95,-80.73,78.8,83,40,10.29,EC,1591037327
354,Conceição da Barra,-18.59,-39.73,78.53,60,99,5.55,BR,1591037327
355,Nobres,-14.72,-56.33,87.37,39,86,3.31,BR,1591037327
356,Beidao,34.57,105.89,62.33,44,100,1.54,CN,1591037327
357,High Level,58.52,-117.14,50.0,76,90,11.41,CA,1591037327
358,Irkutsk,52.3,104.3,44.6,93,75,15.66,RU,1591037327
359,Kruisfontein,-34.0,24.73,56.03,95,7,4.43,ZA,1591037327
360,Jijiang,29.29,106.25,78.01,63,100,8.99,CN,1591037328
361,Ostrovnoy,68.05,39.51,44.37,93,100,3.56,RU,1591037328
362,San,13.3,-4.9,98.47,30,56,2.39,ML,1591037234
363,Kalabo,-14.97,22.68,65.32,41,14,3.74,ZM,1591037328
364,Monrovia,6.3,-10.8,80.82,78,90,6.17,LR,1591037328
365,Gobabis,-22.45,18.97,59.11,32,0,9.91,NA,1591037328
366,Severodvinsk,64.56,39.83,44.6,70,40,4.47,RU,1591037328
367,Walvis Bay,-22.96,14.51,77.0,25,0,3.36,NA,1591037328
368,Mitzic,0.78,11.55,71.17,99,100,2.53,GA,1591037328
369,Atambua,-9.11,124.89,70.11,87,2,6.02,ID,1591037329
370,Havøysund,71.0,24.66,57.2,62,52,20.8,NO,1591037329
371,Nouadhibou,20.93,-17.03,71.6,78,74,17.22,MR,1591037259
372,Mariehamn,60.1,19.93,68.0,40,6,5.82,AX,1591037329
373,Pangnirtung,66.15,-65.71,33.8,74,40,13.87,CA,1591037329
